Geography,Geographic Level,FIPS Code,LDH Region,Demographic Group,Vaccine Status,Count,x,y
_Region 5,REGION,,5,Male,Incomplete,4020,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Gender Unkown,Incomplete,34,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 0-4,Unvaccinated,20648,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 18-29,Unvaccinated,41256,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 30-39,Unvaccinated,31571,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 40-49,Unvaccinated,26043,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 50-59,Unvaccinated,25694,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 5-17,Unvaccinated,52202,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 60-69,Unvaccinated,13090,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 70 plus,Unvaccinated,8719,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Age Unknown,Unvaccinated,,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Black,Unvaccinated,47399,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Other Race,Unvaccinated,3499,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Unknown Race,Unvaccinated,,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,White,Unvaccinated,169996,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Female,Unvaccinated,104963,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Male,Unvaccinated,114595,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Gender Unkown,Unvaccinated,,-10371002.436111776,3535685.7112354627
_Region 6,REGION,,6,Aged 0-4,Complete,0,-10287067.540053649,3687351.187333398
_Region 6,REGION,,6,Aged 18-29,Complete,6615,-10287067.540053649,3687351.187333398
_Region 6,REGION,,6,Aged 30-39,Complete,7609,-10287067.540053649,3687351.187333398
_Region 6,REGION,,6,Aged 40-49,Complete,9231,-10287067.540053649,3687351.187333398
_Region 6,REGION,,6,Aged 50-59,Complete,13491,-10287067.540053649,3687351.187333398
_Region 6,REGION,,6,Aged 5-17,Complete,949,-10287067.540053649,3687351.187333398
_Region 6,REGION,,6,Aged 60-69,Complete,17986,-10287067.540053649,3687351.187333398
_Region 6,REGION,,6,Aged 70 plus,Complete,21020,-10287067.540053649,3687351.187333398
